179,231,NULL,Provides food weekly to people in need. Limited service area.,Wed 9am-noon ET,Living within boundaries: N-21st St.; S-Washington St.; E-Emerson Ave.; W-Rural St.,Walk in during pantry hours; use the rear entrance to access the pantry.,* State-issued photo ID* Recent business mail! (such as a utility bill),N-21st St.; S-Washington St.; E-Emerson Ave.; W-Rural St. in the city of Indianapolis in Marion County
45988,40684,COMMUNITY CUPBOARD OF LAWRENCE,Provides perishable and nonperishable food to persons in need. Clients make their own selection from available items. Limited service area.,Wed 10am-4pm and 6pm-8pm; Fri 10am-4pm ET,* Living in Lawrence Township of Marion County* Limit one visit per month,Walk in.,Mail (with name) dated within past 60 days (such as utility bill! bank statement! government mail),NULL
46244,40847,NULL,Provides perishable and nonperishable food to people in need. Clients make their own selection from available items. Limited service area.,Monthly 2nd and 4th Tues 9am-11am ET,Living in zip code 46205! 46218! or 462226,Walk in (no smoking permitted on church property).,Proof of address (such as recent mail or lease),NULL
47249,41811,NULL,Provides food and clothing monthly to people in need. Clients make their own selection from available items. A warm breakfast is also available during this time. Open service area.,Monthly 3rd Sat 9am-11am ET,Open,Walk in,Nothing needed,NULL
47332,41897,NULL,Provides perishable and nonperishable food to people in need. Limited service area.,Monthly 2nd and last Wed 2pm-5pm ET,Living in Marion County,Walk in.,Nothing needed,NULL
47441,42016,NULL,Provides nonperishable food! baby food! and paper goods to people in need. Clients may make their own selection from available items.  Limited service area. ,Pantry: Monthly 4th Sat 9am-11amETPhone: Mon-Fri 9am-5pm ET,Living in zip codes 46123! 46168! 46214! 46222! 46224! 46231! 46234! or  46241,Call ahead to confirm food is available. (Pantry is the last door at the rear of the church; bring bags for food.),* State-issued photo ID* Proof of current address,46123! 46168! 46214! 46222! 46224! 46231! 46234! or  46241
47437,42017,NULL,Provides perishable and nonperishable food and hygiene supplies to Marion County persons in need. Diapers are usually available. Limited service area.,Monthly 2nd Thurs 6:30pm-8pm ET,Living in Marion County,Walk in.,* State-issued photo ID* Proof of current address,Marion County
4651,42038,SENIOR SHOPPING DAY,Provides perishable and nonperishable food to seniors! ages 55 and older. Clients make their own selection from available items. Open service area.,Monthly 3rd Mon 10am-noon ET,Age 55 or older,Walk in; bring bags to carry food.,* Proof of age* Proof of address,Hendricks County! Johnson County! Marion County! and Morgan County
47579,42132,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47728,42277,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47731,42279,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47886,42410,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48073,42593,INDY FIRST NAZ FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
1157,42797,SENIOR SHOPPING DAY,NULL,NULL,NULL,NULL,NULL,NULL
43487,42841,SENIOR FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
48502,42974,LUTS FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
48507,42978,YOU FEED THEM MISSIONAL FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
48837,43298,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48899,43355,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48920,43366,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49160,43530,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49906,44135,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49954,44159,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50242,44367,IMCA FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
50309,44422,THE ROCK FOOD PANTRY,NULL,NULL,NULL,NULL,NULL,NULL
